Time S I R
107.9 553.183 29.8059 417.248 
108 552.853 29.8374 417.546 
108.1 552.523 29.8687 417.845 
108.2 552.193 29.8999 418.144 
108.3 551.863 29.9309 418.443 
108.4 551.532 29.9618 418.743 
108.5 551.202 29.9925 419.043 
108.6 550.871 30.023 419.343 
108.7 550.541 30.0533 419.644 
108.8 550.21 30.0835 419.944 
108.9 549.879 30.1135 420.246 
109 549.547 30.1434 420.547 
109.1 549.216 30.173 420.849 
109.2 548.885 30.2025 421.151 
109.3 548.553 30.2319 421.453 
109.4 548.221 30.261 421.756 
109.5 547.89 30.29 422.059 
109.6 547.558 30.3188 422.362 
109.7 547.226 30.3474 422.665 
109.8 546.894 30.3759 422.969 
109.9 546.561 30.4042 423.273 
110 546.229 30.4323 423.577 
110.1 545.897 30.4602 423.882 
110.2 545.564 30.488 424.187 
110.3 545.231 30.5156 424.492 
110.4 544.899 30.543 424.797 
110.5 544.566 30.5702 425.103 
110.6 544.233 30.5972 425.409 
110.7 543.9 30.6241 425.715 
110.8 543.567 30.6508 426.022 
110.9 543.233 30.6773 426.329 
111 542.9 30.7036 426.636 
111.1 542.567 30.7298 426.943 
111.2 542.233 30.7557 427.25 
111.3 541.9 30.7815 427.558 
111.4 541.566 30.8071 427.866 
111.5 541.232 30.8325 428.175 
111.6 540.899 30.8577 428.483 
111.7 540.565 30.8827 428.792 
111.8 540.231 30.9076 429.101 
111.9 539.897 30.9322 429.411 
112 539.563 30.9567 429.72 
112.1 539.229 30.981 430.03 
112.2 538.895 31.0051 430.34 
112.3 538.561 31.029 430.65 
112.4 538.226 31.0527 430.961 
112.5 537.892 31.0763 431.272 
112.6 537.558 31.0996 431.583 
112.7 537.223 31.1228 431.894 
112.8 536.889 31.1457 432.205 
112.9 536.555 31.1685 432.517 
113 536.22 31.1911 432.829 
113.1 535.886 31.2135 433.141 
113.2 535.551 31.2357 433.453 
113.3 535.217 31.2577 433.766 
113.4 534.882 31.2795 434.079 
113.5 534.547 31.3011 434.392 
113.6 534.213 31.3225 434.705 
113.7 533.878 31.3437 435.018 
113.8 533.543 31.3647 435.332 
113.9 533.209 31.3856 435.646 
114 532.874 31.4062 435.96 
114.1 532.539 31.4267 436.274 
114.2 532.205 31.4469 436.589 
114.3 531.87 31.4669 436.903 
114.4 531.535 31.4868 437.218 
114.5 531.2 31.5064 437.533 
114.6 530.866 31.5259 437.848 
114.7 530.531 31.5451 438.164 
114.8 530.196 31.5642 438.48 
114.9 529.862 31.583 438.795 
115 529.527 31.6017 439.111 
115.1 529.192 31.6201 439.428 
115.2 528.857 31.6384 439.744 
115.3 528.523 31.6564 440.061 
115.4 528.188 31.6743 440.377 
115.5 527.854 31.6919 440.694 
115.6 527.519 31.7094 441.011 
115.7 527.184 31.7266 441.329 
115.8 526.85 31.7436 441.646 
115.9 526.515 31.7605 441.964 
116 526.181 31.7771 442.281 
116.1 525.847 31.7935 442.599 
116.2 525.512 31.8098 442.917 
116.3 525.178 31.8258 443.236 
116.4 524.844 31.8416 443.554 
116.5 524.509 31.8572 443.873 
116.6 524.175 31.8726 444.191 
116.7 523.841 31.8878 444.51 
116.8 523.507 31.9028 444.829 
116.9 523.173 31.9176 445.148 
117 522.839 31.9322 445.468 
117.1 522.505 31.9465 445.787 
117.2 522.171 31.9607 446.107 
117.3 521.837 31.9747 446.427 
117.4 521.504 31.9884 446.747 
117.5 521.17 32.002 447.067 
117.6 520.837 32.0153 447.387 
117.7 520.503 32.0284 447.707 
117.8 520.17 32.0413 448.027 
117.9 519.836 32.054 448.348 
118 519.503 32.0665 448.669 
118.1 519.17 32.0788 448.989 
118.2 518.837 32.0909 449.31 
118.3 518.504 32.1028 449.631 
118.4 518.171 32.1145 449.952 
118.5 517.838 32.1259 450.274 
118.6 517.505 32.1372 450.595 
118.7 517.173 32.1482 450.917 
118.8 516.84 32.159 451.238 
118.9 516.508 32.1697 451.56 
119 516.175 32.1801 451.882 
119.1 515.843 32.1903 452.204 
119.2 515.511 32.2002 452.526 
119.3 515.179 32.21 452.848 
119.4 514.847 32.2196 453.17 
119.5 514.516 32.2289 453.492 
119.6 514.184 32.2381 453.815 
119.7 513.852 32.247 454.137 
119.8 513.521 32.2557 454.46 
119.9 513.19 32.2642 454.782 
120 512.859 32.2725 455.105 
120.1 512.527 32.2806 455.428 
120.2 512.197 32.2885 455.751 
120.3 511.866 32.2962 456.074 
120.4 511.535 32.3036 456.397 
120.5 511.205 32.3109 456.72 
120.6 510.874 32.3179 457.043 
120.7 510.544 32.3247 457.366 
120.8 510.214 32.3313 457.689 
120.9 509.884 32.3377 458.013 
121 509.554 32.3439 458.336 
121.1 509.225 32.3498 458.66 
121.2 508.895 32.3556 458.983 
121.3 508.566 32.3611 459.307 
121.4 508.237 32.3665 459.631 
121.5 507.908 32.3716 459.954 
121.6 507.579 32.3765 460.278 
121.7 507.25 32.3812 460.602 
121.8 506.922 32.3857 460.926 
121.9 506.593 32.3899 461.25 
122 506.265 32.394 461.574 
122.1 505.937 32.3978 461.898 
122.2 505.61 32.4015 462.222 
122.3 505.282 32.4049 462.546 
122.4 504.954 32.4081 462.87 
122.5 504.627 32.4111 463.194 
122.6 504.3 32.4139 463.518 
122.7 503.973 32.4165 463.842 
122.8 503.646 32.4188 464.166 
122.9 503.32 32.421 464.491 
123 502.993 32.4229 464.815 
123.1 502.667 32.4247 465.139 
123.2 502.341 32.4262 465.463 
123.3 502.015 32.4275 465.788 
123.4 501.69 32.4286 466.112 
123.5 501.365 32.4295 466.436 
123.6 501.039 32.4301 466.76 
123.7 500.714 32.4306 467.085 
123.8 500.39 32.4309 467.409 
123.9 500.065 32.4309 467.733 
124 499.741 32.4307 468.058 
124.1 499.417 32.4304 468.382 
124.2 499.093 32.4298 468.706 
124.3 498.769 32.429 469.031 
124.4 498.445 32.428 469.355 
124.5 498.122 32.4267 469.679 
124.6 497.799 32.4253 470.003 
124.7 497.476 32.4237 470.328 
124.8 497.154 32.4218 470.652 
124.9 496.831 32.4198 470.976 
125 496.509 32.4175 471.3 
125.1 496.187 32.415 471.624 
125.2 495.866 32.4124 471.948 
125.3 495.544 32.4095 472.273 
125.4 495.223 32.4064 472.597 
125.5 494.902 32.4031 472.921 
125.6 494.581 32.3996 473.245 
125.7 494.261 32.3958 473.569 
125.8 493.94 32.3919 473.893 
125.9 493.62 32.3878 474.216 
126 493.301 32.3834 474.54 
126.1 492.981 32.3789 474.864 
126.2 492.662 32.3741 475.188 
126.3 492.343 32.3692 475.511 
126.4 492.024 32.364 475.835 
126.5 491.706 32.3587 476.159 
126.6 491.388 32.3531 476.482 
126.7 491.07 32.3473 476.806 
126.8 490.752 32.3413 477.129 
126.9 490.434 32.3351 477.452 
127 490.117 32.3287 477.776 
127.1 489.8 32.3222 478.099 
127.2 489.484 32.3154 478.422 
127.3 489.167 32.3084 478.745 
127.4 488.851 32.3011 479.068 
127.5 488.536 32.2937 479.391 
127.6 488.22 32.2861 479.714 
127.7 487.905 32.2783 480.037 
127.8 487.59 32.2703 480.359 
127.9 487.275 32.2621 480.682 
128 486.961 32.2537 481.005 
128.1 486.647 32.2451 481.327 
128.2 486.333 32.2363 481.649 
128.3 486.019 32.2272 481.972 
128.4 485.706 32.218 482.294 
128.5 485.393 32.2086 482.616 
128.6 485.08 32.199 482.938 
128.7 484.768 32.1892 483.26 
128.8 484.456 32.1792 483.582 
128.9 484.144 32.169 483.903 
129 483.833 32.1586 484.225 
129.1 483.521 32.148 484.546 
129.2 483.21 32.1372 484.868 
129.3 482.9 32.1262 485.189 
129.4 482.59 32.115 485.51 
129.5 482.28 32.1036 485.831 
129.6 481.97 32.0921 486.152 
129.7 481.661 32.0803 486.473 
129.8 481.352 32.0683 486.794 
129.9 481.043 32.0562 487.114 
130 480.734 32.0438 487.435 
130.1 480.426 32.0313 487.755 
130.2 480.119 32.0185 488.075 
130.3 479.811 32.0056 488.395 
130.4 479.504 31.9925 488.715 
130.5 479.197 31.9792 489.035 
130.6 478.891 31.9657 489.355 
130.7 478.585 31.952 489.674 
130.8 478.279 31.9381 489.993 
130.9 477.973 31.924 490.313 
131 477.668 31.9098 490.632 
131.1 477.363 31.8953 490.951 
131.2 477.059 31.8807 491.27 
131.3 476.754 31.8659 491.588 
131.4 476.451 31.8509 491.907 
131.5 476.147 31.8357 492.225 
131.6 475.844 31.8203 492.543 
131.7 475.541 31.8047 492.861 
131.8 475.239 31.789 493.179 
131.9 474.937 31.773 493.497 
132 474.635 31.7569 493.815 
132.1 474.333 31.7406 494.132 
132.2 474.032 31.7241 494.449 
132.3 473.731 31.7075 494.766 
132.4 473.431 31.6906 495.083 
132.5 473.131 31.6736 495.4 
132.6 472.831 31.6564 495.716 
132.7 472.532 31.639 496.033 
132.8 472.233 31.6214 496.349 
132.9 471.934 31.6037 496.665 
133 471.636 31.5857 496.981 
133.1 471.338 31.5676 497.297 
133.2 471.04 31.5493 497.612 
133.3 470.743 31.5309 497.927 
133.4 470.446 31.5122 498.243 
133.5 470.15 31.4934 498.558 
133.6 469.854 31.4744 498.872 
133.7 469.558 31.4553 499.187 
133.8 469.262 31.4359 499.501 
133.9 468.967 31.4164 499.815 
134 468.673 31.3967 500.129 
134.1 468.378 31.3769 500.443 
134.2 468.085 31.3569 500.757 
134.3 467.791 31.3367 501.07 
134.4 467.498 31.3163 501.383 
134.5 467.205 31.2958 501.696 
134.6 466.913 31.275 502.009 
134.7 466.621 31.2542 502.321 
134.8 466.329 31.2331 502.634 
134.9 466.038 31.2119 502.946 
135 465.747 31.1905 503.258 
135.1 465.456 31.169 503.569 
135.2 465.166 31.1473 503.881 
135.3 464.876 31.1254 504.192 
135.4 464.587 31.1033 504.503 
135.5 464.298 31.0811 504.814 
135.6 464.009 31.0587 505.125 
135.7 463.721 31.0362 505.435 
135.8 463.433 31.0135 505.745 
135.9 463.146 30.9907 506.055 
136 462.859 30.9676 506.365 
136.1 462.572 30.9445 506.674 
136.2 462.286 30.9211 506.983 
136.3 462 30.8976 507.292 
136.4 461.714 30.874 507.601 
136.5 461.429 30.8501 507.91 
136.6 461.144 30.8262 508.218 
136.7 460.86 30.802 508.526 
136.8 460.576 30.7777 508.834 
136.9 460.293 30.7533 509.141 
137 460.01 30.7287 509.448 
137.1 459.727 30.704 509.755 
137.2 459.445 30.679 510.062 
137.3 459.163 30.654 510.369 
137.4 458.881 30.6288 510.675 
137.5 458.6 30.6034 510.981 
137.6 458.319 30.5779 511.287 
137.7 458.039 30.5522 511.592 
137.8 457.759 30.5264 511.898 
137.9 457.48 30.5005 512.203 
138 457.201 30.4744 512.507 
138.1 456.922 30.4481 512.812 
138.2 456.644 30.4217 513.116 
138.3 456.366 30.3952 513.42 
138.4 456.088 30.3685 513.724 
138.5 455.811 30.3416 514.027 
138.6 455.535 30.3146 514.33 
138.7 455.259 30.2875 514.633 
138.8 454.983 30.2603 514.936 
138.9 454.708 30.2328 515.238 
139 454.433 30.2053 515.54 
139.1 454.158 30.1776 515.842 
139.2 453.884 30.1498 516.143 
139.3 453.61 30.1218 516.445 
139.4 453.337 30.0937 516.746 
139.5 453.064 30.0654 517.046 
139.6 452.792 30.037 517.347 
139.7 452.52 30.0085 517.647 
139.8 452.248 29.9799 517.947 
139.9 451.977 29.9511 518.246 
140 451.706 29.9221 518.545 
140.1 451.436 29.8931 518.844 
140.2 451.166 29.8639 519.143 
140.3 450.897 29.8345 519.441 
140.4 450.627 29.8051 519.739 
140.5 450.359 29.7755 520.037 
140.6 450.091 29.7458 520.334 
140.7 449.823 29.7159 520.632 
140.8 449.556 29.6859 520.928 
140.9 449.289 29.6558 521.225 
141 449.022 29.6256 521.521 
141.1 448.756 29.5952 521.817 
141.2 448.49 29.5647 522.113 
141.3 448.225 29.5341 522.408 
141.4 447.961 29.5034 522.703 
141.5 447.696 29.4725 522.998 
141.6 447.432 29.4415 523.292 
141.7 447.169 29.4104 523.587 
141.8 446.906 29.3792 523.88 
141.9 446.643 29.3479 524.174 
142 446.381 29.3164 524.467 
142.1 446.119 29.2848 524.76 
142.2 445.858 29.2531 525.052 
142.3 445.597 29.2213 525.345 
142.4 445.337 29.1893 525.636 
142.5 445.077 29.1572 525.928 
142.6 444.817 29.1251 526.219 
142.7 444.558 29.0928 526.51 
142.8 444.299 29.0604 526.801 
142.9 444.041 29.0278 527.091 
143 443.783 28.9952 527.381 
143.1 443.526 28.9624 527.671 
143.2 443.269 28.9296 527.96 
143.3 443.013 28.8966 528.249 
143.4 442.757 28.8635 528.538 
143.5 442.501 28.8303 528.826 
143.6 442.246 28.797 529.114 
143.7 441.991 28.7636 529.401 
143.8 441.737 28.7301 529.689 
143.9 441.483 28.6965 529.976 
144 441.23 28.6628 530.262 
144.1 440.977 28.6289 530.549 
144.2 440.724 28.595 530.835 
144.3 440.472 28.5609 531.12 
144.4 440.221 28.5268 531.405 
144.5 439.97 28.4925 531.69 
144.6 439.719 28.4582 531.975 
144.7 439.469 28.4237 532.259 
144.8 439.219 28.3892 532.543 
144.9 438.969 28.3545 532.827 
145 438.72 28.3198 533.11 
145.1 438.472 28.2849 533.393 
145.2 438.224 28.25 533.675 
145.3 437.976 28.2149 533.957 
145.4 437.729 28.1798 534.239 
145.5 437.482 28.1446 534.521 
145.6 437.236 28.1092 534.802 
145.7 436.99 28.0738 535.082 
145.8 436.745 28.0383 535.363 
145.9 436.5 28.0027 535.643 
146 436.256 27.967 535.922 
146.1 436.012 27.9312 536.202 
146.2 435.768 27.8953 536.481 
146.3 435.525 27.8593 536.759 
146.4 435.282 27.8233 537.038 
146.5 435.04 27.7871 537.315 
146.6 434.798 27.7509 537.593 
146.7 434.557 27.7146 537.87 
146.8 434.316 27.6782 538.147 
146.9 434.076 27.6417 538.423 
147 433.836 27.6051 538.699 
147.1 433.596 27.5684 538.975 
147.2 433.357 27.5317 539.25 
147.3 433.118 27.4949 539.525 
147.4 432.88 27.458 539.8 
147.5 432.643 27.421 540.074 
147.6 432.405 27.3839 540.348 
147.7 432.168 27.3468 540.621 
147.8 431.932 27.3095 540.895 
147.9 431.696 27.2722 541.167 
148 431.461 27.2348 541.44 
148.1 431.226 27.1974 541.712 
148.2 430.991 27.1598 541.983 
148.3 430.757 27.1222 542.254 
148.4 430.523 27.0845 542.525 
148.5 430.29 27.0468 542.796 
148.6 430.057 27.0089 543.066 
148.7 429.825 26.971 543.335 
148.8 429.593 26.9331 543.605 
148.9 429.362 26.895 543.874 
149 429.131 26.8569 544.142 
149.1 428.9 26.8187 544.411 
149.2 428.67 26.7804 544.678 
149.3 428.441 26.7421 544.946 
149.4 428.212 26.7037 545.213 
149.5 427.983 26.6652 545.479 
149.6 427.755 26.6267 545.746 
149.7 427.527 26.5881 546.012 
149.8 427.3 26.5495 546.277 
149.9 427.073 26.5107 546.542 
150 426.846 26.472 546.807 
150.1 426.62 26.4331 547.071 
150.2 426.395 26.3942 547.335 
150.3 426.17 26.3552 547.599 
150.4 425.945 26.3162 547.862 
150.5 425.721 26.2771 548.125 
150.6 425.497 26.2379 548.387 
150.7 425.274 26.1987 548.649 
150.8 425.051 26.1594 548.911 
150.9 424.829 26.1201 549.172 
151 424.607 26.0807 549.433 
151.1 424.385 26.0413 549.693 
151.2 424.164 26.0018 549.953 
151.3 423.943 25.9622 550.213 
151.4 423.723 25.9226 550.472 
151.5 423.504 25.883 550.731 
151.6 423.284 25.8433 550.989 
151.7 423.066 25.8035 551.247 
151.8 422.847 25.7637 551.505 
151.9 422.629 25.7238 551.762 
152 422.412 25.6839 552.019 
152.1 422.195 25.6439 552.275 
152.2 421.978 25.6039 552.531 
152.3 421.762 25.5639 552.787 
152.4 421.547 25.5237 553.042 
152.5 421.332 25.4836 553.297 
152.6 421.117 25.4434 553.552 
152.7 420.903 25.4031 553.806 
152.8 420.689 25.3628 554.059 
152.9 420.475 25.3225 554.312 
153 420.262 25.2821 554.565 
153.1 420.05 25.2417 554.818 
153.2 419.838 25.2012 555.07 
153.3 419.626 25.1607 555.321 
153.4 419.415 25.1202 555.572 
153.5 419.204 25.0796 555.823 
153.6 418.994 25.0389 556.074 
153.7 418.784 24.9983 556.324 
153.8 418.575 24.9575 556.573 
153.9 418.366 24.9168 556.822 
154 418.157 24.876 557.071 
154.1 417.949 24.8352 557.32 
154.2 417.742 24.7943 557.567 
154.3 417.535 24.7534 557.815 
154.4 417.328 24.7125 558.062 
154.5 417.122 24.6716 558.309 
154.6 416.916 24.6306 558.555 
154.7 416.71 24.5895 558.801 
154.8 416.506 24.5485 559.047 
154.9 416.301 24.5074 559.292 
155 416.097 24.4662 559.536 
155.1 415.893 24.4251 559.781 
155.2 415.69 24.3839 560.024 
155.3 415.487 24.3427 560.268 
155.4 415.285 24.3014 560.511 
155.5 415.083 24.2602 560.753 
155.6 414.882 24.2189 560.996 
155.7 414.681 24.1775 561.237 
155.8 414.48 24.1362 561.479 
155.9 414.28 24.0948 561.72 
156 414.081 24.0534 561.96 
156.1 413.882 24.012 562.2 
156.2 413.683 23.9705 562.44 
156.3 413.484 23.9291 562.679 
156.4 413.287 23.8876 562.918 
156.5 413.089 23.846 563.157 
156.6 412.892 23.8045 563.395 
156.7 412.696 23.7629 563.632 
156.8 412.499 23.7213 563.87 
156.9 412.304 23.6797 564.106 
157 412.108 23.6381 564.343 
157.1 411.914 23.5965 564.579 
157.2 411.719 23.5548 564.814 
157.3 411.525 23.5131 565.049 
157.4 411.332 23.4714 565.284 
157.5 411.139 23.4297 565.518 
157.6 410.946 23.388 565.752 
157.7 410.754 23.3462 565.986 
157.8 410.562 23.3045 566.219 
157.9 410.371 23.2627 566.451 
158 410.18 23.2209 566.684 
158.1 409.989 23.1791 566.915 
158.2 409.799 23.1373 567.147 
158.3 409.61 23.0955 567.378 
158.4 409.42 23.0536 567.608 
158.5 409.232 23.0118 567.838 
158.6 409.043 22.9699 568.068 
158.7 408.855 22.928 568.297 
158.8 408.668 22.8862 568.526 
158.9 408.481 22.8443 568.755 
159 408.294 22.8024 568.983 
159.1 408.108 22.7605 569.21 
159.2 407.922 22.7185 569.437 
159.3 407.737 22.6766 569.664 
159.4 407.552 22.6347 569.891 
159.5 407.367 22.5928 570.116 
159.6 407.183 22.5508 570.342 
159.7 407 22.5089 570.567 
159.8 406.816 22.4669 570.792 
159.9 406.634 22.425 571.016 
160 406.451 22.383 571.24 
160.1 406.269 22.3411 571.463 
160.2 406.088 22.2991 571.686 
160.3 405.907 22.2571 571.909 
160.4 405.726 22.2152 572.131 
160.5 405.546 22.1732 572.353 
160.6 405.366 22.1312 572.574 
160.7 405.186 22.0893 572.795 
160.8 405.007 22.0473 573.015 
160.9 404.829 22.0053 573.235 
161 404.651 21.9634 573.455 
161.1 404.473 21.9214 573.674 
161.2 404.296 21.8795 573.893 
161.3 404.119 21.8375 574.111 
161.4 403.942 21.7955 574.329 
161.5 403.766 21.7536 574.547 
161.6 403.59 21.7116 574.764 
161.7 403.415 21.6697 574.981 
161.8 403.24 21.6278 575.197 
161.9 403.066 21.5858 575.413 
162 402.892 21.5439 575.628 
162.1 402.718 21.502 575.843 
162.2 402.545 21.4601 576.058 
162.3 402.372 21.4182 576.272 
162.4 402.2 21.3763 576.486 
162.5 402.028 21.3344 576.699 
162.6 401.857 21.2925 576.912 
162.7 401.685 21.2507 577.125 
162.8 401.515 21.2088 577.337 
162.9 401.344 21.167 577.548 
163 401.174 21.1251 577.76 
163.1 401.005 21.0833 577.971 
163.2 400.836 21.0415 578.181 
163.3 400.667 20.9997 578.391 
163.4 400.499 20.9579 578.601 
163.5 400.331 20.9161 578.81 
163.6 400.164 20.8744 579.018 
163.7 399.996 20.8326 579.227 
163.8 399.83 20.7909 579.435 
163.9 399.664 20.7491 579.642 
164 399.498 20.7074 579.849 
164.1 399.332 20.6657 580.056 
164.2 399.167 20.6241 580.262 
164.3 399.003 20.5824 580.468 
164.4 398.838 20.5408 580.673 
164.5 398.674 20.4991 580.878 
164.6 398.511 20.4575 581.083 
164.7 398.348 20.4159 581.287 
164.8 398.185 20.3744 581.491 
164.9 398.023 20.3328 581.694 
165 397.861 20.2913 581.897 
165.1 397.7 20.2498 582.1 
165.2 397.539 20.2083 582.302 
165.3 397.378 20.1668 582.503 
165.4 397.218 20.1253 582.705 
165.5 397.058 20.0839 582.905 
165.6 396.898 20.0425 583.106 
165.7 396.739 20.0011 583.306 
165.8 396.581 19.9597 583.505 
165.9 396.422 19.9184 583.705 
166 396.264 19.8771 583.903 
166.1 396.107 19.8358 584.102 
166.2 395.95 19.7945 584.3 
166.3 395.793 19.7532 584.497 
166.4 395.637 19.712 584.694 
166.5 395.481 19.6708 584.891 
166.6 395.325 19.6296 585.087 
166.7 395.17 19.5884 585.283 
166.8 395.015 19.5473 585.479 
166.9 394.861 19.5062 585.674 
167 394.706 19.4651 585.868 
167.1 394.553 19.4241 586.063 
167.2 394.4 19.3831 586.256 
167.3 394.247 19.3421 586.45 
167.4 394.094 19.3011 586.643 
167.5 393.942 19.2602 586.836 
167.6 393.79 19.2192 587.028 
167.7 393.639 19.1784 587.219 
167.8 393.488 19.1375 587.411 
167.9 393.337 19.0967 587.602 
168 393.187 19.0559 587.792 
168.1 393.037 19.0151 587.983 
168.2 392.888 18.9744 588.172 
168.3 392.739 18.9337 588.362 
168.4 392.59 18.893 588.551 
168.5 392.442 18.8524 588.739 
168.6 392.294 18.8118 588.927 
168.7 392.146 18.7712 589.115 
168.8 391.999 18.7306 589.302 
168.9 391.852 18.6901 589.489 
169 391.705 18.6496 589.676 
169.1 391.559 18.6092 589.862 
169.2 391.414 18.5688 590.047 
169.3 391.268 18.5284 590.233 
169.4 391.123 18.488 590.418 
169.5 390.979 18.4477 590.602 
169.6 390.834 18.4075 590.786 
169.7 390.691 18.3672 590.97 
169.8 390.547 18.327 591.153 
169.9 390.404 18.2868 591.336 
170 390.261 18.2467 591.518 
170.1 390.119 18.2066 591.7 
170.2 389.977 18.1665 591.882 
170.3 389.835 18.1265 592.063 
170.4 389.694 18.0865 592.244 
170.5 389.553 18.0466 592.425 
170.6 389.412 18.0067 592.605 
170.7 389.272 17.9668 592.784 
170.8 389.132 17.9269 592.964 
170.9 388.992 17.8871 593.143 
171 388.853 17.8474 593.321 
171.1 388.714 17.8077 593.499 
171.2 388.576 17.768 593.677 
171.3 388.438 17.7283 593.854 
171.4 388.3 17.6887 594.031 
171.5 388.163 17.6492 594.207 
171.6 388.026 17.6096 594.384 
171.7 387.889 17.5701 594.559 
171.8 387.753 17.5307 594.735 
171.9 387.617 17.4913 594.909 
172 387.481 17.4519 595.084 
172.1 387.346 17.4126 595.258 
172.2 387.211 17.3733 595.432 
172.3 387.077 17.3341 595.605 
172.4 386.942 17.2949 595.778 
172.5 386.809 17.2558 595.951 
172.6 386.675 17.2166 596.123 
172.7 386.542 17.1776 596.295 
172.8 386.409 17.1385 596.466 
172.9 386.277 17.0996 596.637 
173 386.145 17.0606 596.808 
173.1 386.013 17.0217 596.978 
173.2 385.881 16.9829 597.148 
173.3 385.75 16.9441 597.317 
173.4 385.62 16.9053 597.486 
173.5 385.489 16.8666 597.655 
173.6 385.359 16.8279 597.823 
173.7 385.229 16.7893 597.991 
173.8 385.1 16.7507 598.159 
173.9 384.971 16.7122 598.326 
174 384.842 16.6737 598.492 
174.1 384.714 16.6353 598.659 
174.2 384.586 16.5969 598.825 
174.3 384.458 16.5585 598.99 
174.4 384.331 16.5202 599.156 
174.5 384.204 16.4819 599.32 
174.6 384.077 16.4437 599.485 
174.7 383.951 16.4056 599.649 
174.8 383.825 16.3674 599.812 
174.9 383.7 16.3294 599.976 
175 383.574 16.2913 600.139 
175.1 383.449 16.2534 600.301 
175.2 383.325 16.2154 600.463 
175.3 383.2 16.1776 600.625 
175.4 383.076 16.1397 600.787 
175.5 382.953 16.1019 600.948 
175.6 382.829 16.0642 601.108 
175.7 382.706 16.0265 601.268 
175.8 382.584 15.9889 601.428 
175.9 382.461 15.9513 601.588 
176 382.339 15.9138 601.747 
176.1 382.218 15.8763 601.906 
176.2 382.096 15.8388 602.064 
176.3 381.975 15.8015 602.222 
176.4 381.855 15.7641 602.38 
176.5 381.734 15.7268 602.537 
176.6 381.614 15.6896 602.694 
176.7 381.494 15.6524 602.851 
176.8 381.375 15.6153 603.007 
176.9 381.256 15.5782 603.162 
177 381.137 15.5412 603.318 
177.1 381.019 15.5042 603.473 
177.2 380.9 15.4672 603.628 
177.3 380.783 15.4304 603.782 
177.4 380.665 15.3935 603.936 
177.5 380.548 15.3568 604.089 
177.6 380.431 15.32 604.243 
177.7 380.314 15.2834 604.395 
177.8 380.198 15.2467 604.548 
177.9 380.082 15.2102 604.7 
178 379.967 15.1737 604.852 
178.1 379.851 15.1372 605.003 
178.2 379.736 15.1008 605.154 
178.3 379.622 15.0644 605.305 
178.4 379.507 15.0281 605.455 
178.5 379.393 14.9919 605.605 
178.6 379.279 14.9557 605.755 
178.7 379.166 14.9195 605.904 
178.8 379.053 14.8835 606.053 
178.9 378.94 14.8474 606.201 
179 378.827 14.8114 606.349 
179.1 378.715 14.7755 606.497 
179.2 378.603 14.7396 606.644 
179.3 378.492 14.7038 606.791 
179.4 378.38 14.6681 606.938 
179.5 378.269 14.6323 607.084 
179.6 378.159 14.5967 607.23 
179.7 378.048 14.5611 607.376 
179.8 377.938 14.5255 607.521 
179.9 377.828 14.49 607.666 
180 377.719 14.4546 607.811 
180.1 377.61 14.4192 607.955 
180.2 377.501 14.3839 608.099 
180.3 377.392 14.3486 608.242 
180.4 377.284 14.3134 608.385 
180.5 377.176 14.2782 608.528 
180.6 377.068 14.2431 608.67 
180.7 376.961 14.2081 608.813 
180.8 376.854 14.1731 608.954 
180.9 376.747 14.1382 609.096 
181 376.64 14.1033 609.237 
181.1 376.534 14.0685 609.377 
181.2 376.428 14.0337 609.518 
181.3 376.322 13.999 609.658 
181.4 376.217 13.9643 609.797 
181.5 376.112 13.9297 609.937 
181.6 376.007 13.8952 610.076 
181.7 375.903 13.8607 610.214 
181.8 375.799 13.8263 610.352 
181.9 375.695 13.7919 610.49 
182 375.591 13.7576 610.628 
182.1 375.488 13.7233 610.765 
182.2 375.385 13.6891 610.902 
182.3 375.282 13.655 611.039 
182.4 375.179 13.6209 611.175 
182.5 375.077 13.5868 611.311 
182.6 374.975 13.5529 611.446 
182.7 374.874 13.5189 611.581 
182.8 374.772 13.4851 611.716 
182.9 374.671 13.4513 611.851 
183 374.57 13.4175 611.985 
183.1 374.47 13.3839 612.119 
183.2 374.37 13.3502 612.252 
183.3 374.27 13.3167 612.385 
183.4 374.17 13.2831 612.518 
183.5 374.071 13.2497 612.651 
183.6 373.971 13.2163 612.783 
183.7 373.873 13.183 612.915 
183.8 373.774 13.1497 613.046 
183.9 373.676 13.1165 613.177 
184 373.578 13.0833 613.308 
184.1 373.48 13.0502 613.439 
184.2 373.382 13.0171 613.569 
184.3 373.285 12.9841 613.699 
184.4 373.188 12.9512 613.828 
184.5 373.092 12.9183 613.957 
184.6 372.995 12.8855 614.086 
184.7 372.899 12.8528 614.215 
184.8 372.803 12.8201 614.343 
184.9 372.708 12.7874 614.471 
185 372.612 12.7549 614.599 
185.1 372.517 12.7223 614.726 
185.2 372.423 12.6899 614.853 
185.3 372.328 12.6575 614.979 
185.4 372.234 12.6251 615.105 
185.5 372.14 12.5928 615.231 
185.6 372.046 12.5606 615.357 
185.7 371.953 12.5285 615.482 
185.8 371.859 12.4963 615.607 
185.9 371.766 12.4643 615.732 
186 371.674 12.4323 615.856 
186.1 371.581 12.4004 615.98 
186.2 371.489 12.3685 616.104 
186.3 371.397 12.3367 616.227 
186.4 371.306 12.3049 616.35 
186.5 371.214 12.2732 616.473 
186.6 371.123 12.2416 616.595 
186.7 371.032 12.21 616.718 
186.8 370.942 12.1785 616.839 
