Time S I R
14.7 992.34 4.31535 3.37767 
14.8 992.254 4.35784 3.42125 
14.9 992.168 4.40073 3.46526 
15 992.08 4.44404 3.5097 
15.1 991.992 4.48777 3.55458 
15.2 991.903 4.53192 3.5999 
15.3 991.813 4.5765 3.64566 
15.4 991.722 4.62151 3.69188 
15.5 991.631 4.66695 3.73854 
15.6 991.538 4.71283 3.78567 
15.7 991.445 4.75915 3.83326 
15.8 991.35 4.80592 3.88132 
15.9 991.255 4.85314 3.92986 
16 991.159 4.90081 3.97886 
16.1 991.062 4.94894 4.02835 
16.2 990.964 4.99754 4.07833 
16.3 990.865 5.0466 4.12879 
16.4 990.765 5.09614 4.17976 
16.5 990.664 5.14614 4.23122 
16.6 990.562 5.19663 4.28318 
16.7 990.459 5.24761 4.33566 
16.8 990.355 5.29907 4.38865 
16.9 990.25 5.35103 4.44216 
17 990.144 5.40349 4.4962 
17.1 990.037 5.45644 4.55076 
17.2 989.929 5.50991 4.60586 
17.3 989.82 5.56389 4.6615 
17.4 989.71 5.61838 4.71768 
17.5 989.598 5.6734 4.77442 
17.6 989.486 5.72894 4.8317 
17.7 989.373 5.78501 4.88955 
17.8 989.258 5.84162 4.94797 
17.9 989.143 5.89876 5.00696 
18 989.026 5.95646 5.06652 
18.1 988.908 6.0147 5.12667 
18.2 988.789 6.0735 5.18741 
18.3 988.669 6.13286 5.24873 
18.4 988.548 6.19278 5.31066 
18.5 988.425 6.25327 5.37319 
18.6 988.302 6.31434 5.43634 
18.7 988.177 6.37599 5.5001 
18.8 988.051 6.43823 5.56448 
18.9 987.924 6.50106 5.62949 
19 987.795 6.56448 5.69514 
19.1 987.665 6.62851 5.76142 
19.2 987.535 6.69314 5.82835 
19.3 987.402 6.75838 5.89594 
19.4 987.269 6.82425 5.96418 
19.5 987.134 6.89073 6.03309 
19.6 986.998 6.95785 6.10266 
19.7 986.861 7.0256 6.17292 
19.8 986.722 7.09399 6.24386 
19.9 986.582 7.16303 6.31549 
20 986.441 7.23271 6.38782 
20.1 986.298 7.30306 6.46085 
20.2 986.154 7.37407 6.53459 
20.3 986.009 7.44574 6.60905 
20.4 985.862 7.5181 6.68423 
20.5 985.714 7.59113 6.76014 
20.6 985.564 7.66485 6.83679 
20.7 985.413 7.73926 6.91418 
20.8 985.26 7.81437 6.99232 
20.9 985.106 7.89019 7.07123 
21 984.951 7.96672 7.15089 
21.1 984.794 8.04396 7.23133 
21.2 984.635 8.12193 7.31255 
21.3 984.475 8.20063 7.39456 
21.4 984.314 8.28006 7.47736 
21.5 984.151 8.36023 7.56096 
21.6 983.986 8.44116 7.64537 
21.7 983.82 8.52284 7.7306 
21.8 983.653 8.60528 7.81665 
21.9 983.483 8.68849 7.90354 
22 983.312 8.77248 7.99126 
22.1 983.14 8.85724 8.07984 
22.2 982.966 8.9428 8.16926 
22.3 982.79 9.02915 8.25955 
22.4 982.612 9.1163 8.35072 
22.5 982.433 9.20426 8.44276 
22.6 982.252 9.29304 8.53569 
22.7 982.07 9.38263 8.62952 
22.8 981.886 9.47306 8.72425 
22.9 981.7 9.56432 8.81989 
23 981.512 9.65643 8.91646 
23.1 981.322 9.74939 9.01395 
23.2 981.131 9.8432 9.11238 
23.3 980.938 9.93788 9.21176 
23.4 980.743 10.0334 9.31209 
23.5 980.546 10.1299 9.41339 
23.6 980.347 10.2272 9.51566 
23.7 980.147 10.3254 9.61892 
23.8 979.944 10.4245 9.72316 
23.9 979.74 10.5245 9.82841 
24 979.534 10.6255 9.93466 
24.1 979.326 10.7273 10.0419 
24.2 979.116 10.8301 10.1502 
24.3 978.904 10.9338 10.2596 
24.4 978.689 11.0385 10.37 
24.5 978.473 11.1442 10.4814 
24.6 978.255 11.2508 10.5939 
24.7 978.035 11.3583 10.7075 
24.8 977.813 11.4669 10.8222 
24.9 977.589 11.5764 10.9379 
25 977.362 11.6869 11.0548 
25.1 977.134 11.7984 11.1728 
25.2 976.903 11.911 11.2919 
25.3 976.671 12.0245 11.4121 
25.4 976.436 12.1391 11.5335 
25.5 976.199 12.2547 11.6561 
25.6 975.959 12.3714 11.7798 
25.7 975.718 12.4891 11.9047 
25.8 975.474 12.6078 12.0308 
25.9 975.228 12.7277 12.158 
26 974.98 12.8486 12.2865 
26.1 974.73 12.9706 12.4162 
26.2 974.477 13.0937 12.5472 
26.3 974.221 13.2178 12.6793 
26.4 973.964 13.3431 12.8128 
26.5 973.704 13.4696 12.9475 
26.6 973.442 13.5971 13.0834 
26.7 973.177 13.7258 13.2207 
26.8 972.91 13.8556 13.3593 
26.9 972.64 13.9866 13.4991 
27 972.368 14.1187 13.6403 
27.1 972.094 14.252 13.7828 
27.2 971.817 14.3865 13.9267 
27.3 971.537 14.5222 14.0719 
27.4 971.255 14.659 14.2185 
27.5 970.97 14.7971 14.3665 
27.6 970.683 14.9364 14.5158 
27.7 970.393 15.0769 14.6666 
27.8 970.1 15.2187 14.8188 
27.9 969.805 15.3617 14.9724 
28 969.507 15.5059 15.1275 
28.1 969.206 15.6514 15.284 
28.2 968.903 15.7982 15.442 
28.3 968.597 15.9463 15.6014 
28.4 968.288 16.0956 15.7624 
28.5 967.976 16.2463 15.9248 
28.6 967.661 16.3982 16.0888 
28.7 967.344 16.5515 16.2543 
28.8 967.024 16.7061 16.4214 
28.9 966.701 16.862 16.59 
29 966.375 17.0193 16.7602 
29.1 966.046 17.178 16.932 
29.2 965.714 17.338 17.1054 
29.3 965.379 17.4993 17.2804 
29.4 965.041 17.6621 17.457 
29.5 964.7 17.8262 17.6353 
29.6 964.356 17.9918 17.8152 
29.7 964.009 18.1588 17.9968 
29.8 963.659 18.3272 18.18 
29.9 963.306 18.497 18.365 
30 962.95 18.6682 18.5517 
30.1 962.59 18.841 18.7401 
30.2 962.227 19.0151 18.9302 
30.3 961.861 19.1908 19.1222 
30.4 961.492 19.3679 19.3158 
30.5 961.12 19.5465 19.5113 
30.6 960.744 19.7266 19.7086 
30.7 960.365 19.9083 19.9076 
30.8 959.983 20.0914 20.1086 
30.9 959.597 20.2761 20.3113 
31 959.208 20.4623 20.5159 
31.1 958.815 20.6501 20.7224 
31.2 958.419 20.8394 20.9308 
31.3 958.02 21.0303 21.1411 
31.4 957.617 21.2228 21.3534 
31.5 957.21 21.4169 21.5675 
31.6 956.8 21.6125 21.7837 
31.7 956.387 21.8098 22.0018 
31.8 955.97 22.0087 22.2218 
31.9 955.549 22.2092 22.4439 
32 955.124 22.4114 22.6681 
32.1 954.696 22.6152 22.8942 
32.2 954.264 22.8206 23.1224 
32.3 953.829 23.0278 23.3527 
32.4 953.39 23.2366 23.5851 
32.5 952.947 23.4471 23.8195 
32.6 952.5 23.6593 24.0561 
32.7 952.049 23.8732 24.2949 
32.8 951.594 24.0888 24.5357 
32.9 951.136 24.3061 24.7788 
33 950.674 24.5252 25.0241 
33.1 950.207 24.7461 25.2715 
33.2 949.737 24.9686 25.5212 
33.3 949.263 25.193 25.7731 
33.4 948.784 25.4191 26.0273 
33.5 948.302 25.647 26.2838 
33.6 947.816 25.8767 26.5426 
33.7 947.325 26.1082 26.8036 
33.8 946.83 26.3416 27.0671 
33.9 946.332 26.5767 27.3328 
34 945.829 26.8137 27.601 
34.1 945.321 27.0525 27.8715 
34.2 944.81 27.2931 28.1444 
34.3 944.294 27.5357 28.4198 
34.4 943.774 27.7801 28.6976 
34.5 943.25 28.0263 28.9778 
34.6 942.721 28.2745 29.2606 
34.7 942.188 28.5245 29.5458 
34.8 941.651 28.7765 29.8336 
34.9 941.109 29.0304 30.1239 
35 940.562 29.2862 30.4168 
35.1 940.011 29.5439 30.7122 
35.2 939.456 29.8036 31.0102 
35.3 938.896 30.0652 31.3109 
35.4 938.331 30.3287 31.6142 
35.5 937.762 30.5943 31.9201 
35.6 937.188 30.8618 32.2287 
35.7 936.61 31.1313 32.54 
35.8 936.027 31.4028 32.8541 
35.9 935.439 31.6762 33.1708 
36 934.846 31.9517 33.4904 
36.1 934.249 32.2292 33.8126 
36.2 933.647 32.5087 34.1377 
36.3 933.04 32.7903 34.4656 
36.4 932.428 33.0739 34.7964 
36.5 931.811 33.3595 35.13 
36.6 931.189 33.6472 35.4664 
36.7 930.563 33.9369 35.8058 
36.8 929.931 34.2288 36.1481 
36.9 929.294 34.5226 36.4933 
37 928.653 34.8186 36.8415 
37.1 928.006 35.1167 37.1927 
37.2 927.354 35.4168 37.5468 
37.3 926.697 35.719 37.904 
37.4 926.035 36.0234 38.2643 
37.5 925.368 36.3299 38.6276 
37.6 924.696 36.6384 38.994 
37.7 924.018 36.9492 39.3634 
37.8 923.335 37.262 39.7361 
37.9 922.647 37.577 40.1118 
38 921.954 37.8941 40.4908 
38.1 921.255 38.2133 40.8729 
38.2 920.551 38.5348 41.2583 
38.3 919.842 38.8583 41.6468 
38.4 919.127 39.1841 42.0387 
38.5 918.406 39.5119 42.4338 
38.6 917.681 39.842 42.8322 
38.7 916.949 40.1743 43.234 
38.8 916.213 40.5087 43.639 
38.9 915.47 40.8453 44.0475 
39 914.722 41.1841 44.4593 
39.1 913.969 41.5251 44.8746 
39.2 913.21 41.8682 45.2933 
39.3 912.445 42.2136 45.7154 
39.4 911.675 42.5612 46.141 
39.5 910.899 42.9109 46.5701 
39.6 910.117 43.2629 47.0028 
39.7 909.33 43.6171 47.4389 
39.8 908.536 43.9735 47.8787 
39.9 907.737 44.332 48.322 
40 906.933 44.6928 48.7689 
40.1 906.122 45.0559 49.2195 
40.2 905.305 45.4211 49.6737 
40.3 904.483 45.7885 50.1316 
40.4 903.655 46.1582 50.5932 
40.5 902.82 46.5301 51.0585 
40.6 901.98 46.9041 51.5275 
40.7 901.134 47.2804 52.0003 
40.8 900.282 47.6589 52.4769 
40.9 899.424 48.0397 52.9573 
41 898.56 48.4226 53.4415 
41.1 897.69 48.8077 53.9296 
41.2 896.813 49.1951 54.4215 
41.3 895.931 49.5847 54.9174 
41.4 895.042 49.9764 55.4171 
41.5 894.148 50.3704 55.9209 
41.6 893.247 50.7665 56.4285 
41.7 892.34 51.1649 56.9402 
41.8 891.427 51.5654 57.4558 
41.9 890.508 51.9682 57.9755 
42 889.582 52.3731 58.4992 
42.1 888.65 52.7802 59.027 
42.2 887.712 53.1895 59.5589 
42.3 886.768 53.6009 60.0949 
42.4 885.817 54.0145 60.6351 
42.5 884.86 54.4303 61.1794 
42.6 883.897 54.8482 61.7279 
42.7 882.927 55.2682 62.2805 
42.8 881.951 55.6904 62.8375 
42.9 880.969 56.1147 63.3986 
43 879.98 56.5412 63.964 
43.1 878.985 56.9698 64.5337 
43.2 877.984 57.4004 65.1077 
43.3 876.976 57.8332 65.686 
43.4 875.961 58.2681 66.2687 
43.5 874.941 58.705 66.8558 
43.6 873.913 59.144 67.4472 
43.7 872.88 59.5851 68.0431 
43.8 871.839 60.0282 68.6434 
43.9 870.793 60.4734 69.2481 
44 869.74 60.9206 69.8573 
44.1 868.68 61.3698 70.471 
44.2 867.614 61.821 71.0892 
44.3 866.541 62.2742 71.7119 
44.4 865.462 62.7294 72.3392 
44.5 864.376 63.1865 72.9711 
44.6 863.284 63.6456 73.6076 
44.7 862.185 64.1066 74.2486 
44.8 861.079 64.5696 74.8943 
44.9 859.967 65.0344 75.5447 
45 858.849 65.5012 76.1997 
45.1 857.724 65.9698 76.8594 
45.2 856.592 66.4403 77.5238 
45.3 855.454 66.9126 78.1929 
45.4 854.309 67.3868 78.8668 
45.5 853.157 67.8627 79.5454 
45.6 851.999 68.3405 80.2288 
45.7 850.835 68.82 80.917 
45.8 849.664 69.3013 81.61 
45.9 848.486 69.7843 82.3079 
46 847.302 70.269 83.0105 
46.1 846.111 70.7554 83.7181 
46.2 844.914 71.2435 84.4305 
46.3 843.71 71.7333 85.1479 
46.4 842.5 72.2246 85.8701 
46.5 841.283 72.7176 86.5973 
46.6 840.059 73.2122 87.3294 
46.7 838.829 73.7083 88.0665 
46.8 837.592 74.206 88.8086 
46.9 836.349 74.7052 89.5556 
47 835.1 75.2058 90.3077 
47.1 833.844 75.708 91.0647 
47.2 832.581 76.2116 91.8269 
47.3 831.312 76.7166 92.594 
47.4 830.037 77.2229 93.3663 
47.5 828.755 77.7307 94.1436 
47.6 827.466 78.2398 94.926 
47.7 826.171 78.7502 95.7135 
47.8 824.87 79.2618 96.5061 
47.9 823.563 79.7748 97.3038 
48 822.249 80.2889 98.1067 
48.1 820.928 80.8042 98.9148 
48.2 819.601 81.3208 99.728 
48.3 818.268 81.8384 100.546 
48.4 816.929 82.3571 101.37 
48.5 815.584 82.8769 102.199 
48.6 814.232 83.3978 103.033 
48.7 812.874 83.9196 103.872 
48.8 811.509 84.4425 104.716 
48.9 810.139 84.9663 105.566 
49 808.762 85.4909 106.421 
49.1 807.379 86.0165 107.281 
49.2 805.99 86.5429 108.146 
49.3 804.595 87.0701 109.017 
49.4 803.194 87.5981 109.893 
49.5 801.787 88.1268 110.774 
49.6 800.374 88.6562 111.661 
49.7 798.955 89.1863 112.553 
49.8 797.529 89.717 113.45 
49.9 796.098 90.2483 114.352 
